ID,Time,Pickup,Dropoff,Duration,Fare
R628,55,28,8,11,13.0
R622,55,8,8,6,10.25
R532,55,56,8,26,46.0
R595,55,8,24,3,7.25
R640,55,76,32,23,47.0
R642,55,4,4,1,3.5
R606,56,32,46,23,27.0
R630,56,8,6,15,17.25
R555,56,8,24,7,12.35
R528,56,16,4,6,7.0
R575,56,32,8,6,9.0
R536,56,28,32,4,6.0
R538,57,76,32,24,49.0
R627,57,32,8,2,5.0
R631,57,8,7,9,11.25
R572,57,28,3,19,30.0
R604,57,8,21,15,16.75
R644,57,32,8,4,5.25
R546,58,8,32,4,6.25
R534,58,56,56,1,3.25
R548,58,4,2,8,13.0
R558,58,8,8,1,5.0
R632,58,20,22,6,6.25
R549,58,8,8,7,7.25
R629,58,28,6,13,14.75
R551,58,76,22,16,41.1
R626,58,8,8,6,7.25
R553,58,32,32,2,7.75
R599,58,8,6,14,16.0
R560,58,8,32,10,8.5
R593,58,6,6,4,5.25
R621,58,8,7,3,5.0
R561,58,8,8,6,5.75
R563,58,32,8,7,10.5
R617,58,56,56,19,15.5
R570,58,8,21,19,28.25
R576,58,8,6,9,14.75
R605,59,8,7,9,12.5
R590,59,8,23,15,16.5
R582,59,32,8,16,12.0
R537,59,32,8,8,8.25
R579,59,32,6,8,16.0
R524,59,7,24,9,9.5
R613,59,8,8,2,6.5
R573,59,8,8,4,5.25
R562,59,8,8,6,9.0
R620,59,8,16,13,26.5
R569,59,56,56,1,0.0
R714,60,8,33,9,12.25
R523,60,34,40,22,15.5
R521,60,32,31,10,12.6
R592,60,8,32,6,6.75
R614,60,28,28,5,11.5
R711,61,8,6,13,14.75
R663,61,32,8,7,9.5
R726,61,32,22,19,18.5
R730,61,8,32,4,6.0
R737,61,8,8,5,7.75
R672,61,76,32,20,56.5
R729,61,8,21,10,19.8
R683,62,32,24,7,11.5
R689,62,56,24,26,39.75
R679,62,76,13,21,39.4
R661,62,76,33,30,53.25
R712,62,22,21,8,8.25
R646,62,76,7,22,53.8
R654,62,8,8,3,8.0
R728,62,8,6,14,11.5
R735,62,32,8,7,8.0
R656,62,8,8,7,6.25
R671,62,8,8,4,5.75
R719,63,8,8,3,5.5
R694,63,32,32,6,7.84
R691,63,56,8,33,58.3
R725,63,76,77,28,41.25
R727,63,8,8,8,11.25
R723,63,8,22,12,13.6
R664,63,32,32,8,11.25
