ID,Time,Pickup,Dropoff,Duration,Fare
R348,21,3,3,7,7.0
R363,21,32,32,3,7.0
R522,21,28,24,9,9.25
R368,21,32,28,5,8.5
R299,21,8,32,11,11.5
R529,21,28,28,7,7.5
R340,21,8,8,5,5.25
R449,21,32,32,1,4.75
R403,21,8,8,3,4.5
R460,21,38,35,1,3.25
R452,21,8,8,17,13.0
R258,21,8,7,5,8.0
R233,21,6,8,13,12.5
R506,21,7,76,34,46.6
R519,22,49,37,21,22.25
R541,22,28,8,10,10.25
R433,22,8,32,7,9.25
R282,22,8,28,8,10.5
R416,22,8,8,7,9.25
R245,22,32,33,11,15.25
R247,22,2,6,15,3.25
R523,22,32,28,12,12.0
R264,22,8,28,15,15.25
R525,22,8,56,38,50.0
R234,22,8,28,13,9.75
R395,22,8,33,22,17.75
R496,22,32,32,5,8.75
R337,22,6,16,16,13.0
R343,22,8,32,7,8.5
R514,22,7,76,49,52.5
R349,22,2,2,1,3.25
R330,22,76,76,3,5.25
R495,22,3,7,8,8.75
R325,22,8,8,3,6.0
R354,22,32,32,4,5.25
R490,22,8,32,12,9.25
R324,22,28,28,2,4.75
R486,22,32,32,3,4.5
R487,22,32,28,3,6.75
R323,22,1,8,29,24.0
R450,23,6,7,5,9.0
R421,23,8,33,28,22.8
R528,23,8,8,8,7.75
R344,23,32,32,3,5.25
R370,23,28,33,9,16.25
R288,23,32,56,38,42.9
R511,23,8,35,18,18.6
R494,23,76,76,15,19.5
R414,23,28,32,3,6.75
R358,23,32,8,4,8.0
R458,23,8,76,48,60.3
R240,23,28,8,9,8.5
R381,23,32,8,3,5.75
R491,23,8,8,7,9.5
R386,23,28,32,5,8.5
R526,23,32,32,4,7.75
R246,24,32,28,10,13.0
R484,24,76,32,269,60.3
R539,24,7,28,18,16.25
R306,24,28,8,13,14.75
R231,24,28,8,8,8.25
R430,24,3,32,21,23.7
R434,24,8,8,6,7.5
R445,24,33,28,20,14.75
R534,24,32,33,15,15.52
R456,24,33,28,18,17.1
R251,24,8,6,5,11.25
R461,24,32,32,3,9.25
R530,24,69,32,21,20.75
R286,24,7,76,53,50.4
R281,24,8,76,32,53.8
R471,24,6,32,16,16.5
R479,24,28,28,5,8.0
R356,24,2,2,5,6.25
R272,24,71,32,58,37.0
R501,24,32,32,4,6.5
R271,24,32,28,3,5.25
R455,25,32,32,4,6.25
R507,25,32,76,30,57.4
R509,25,32,33,10,18.1
R269,25,28,8,11,8.5
R228,25,8,32,9,10.5
R315,25,32,32,4,5.5
R453,25,33,32,8,10.5
R435,25,28,8,10,9.5
R294,25,8,33,20,18.0
R424,25,28,8,7,10.0
R462,25,28,32,7,6.5
R339,25,28,32,3,6.75
R401,25,32,28,5,5.0
R268,25,21,21,3,5.5
R257,25,8,8,1,78.1
R331,25,43,32,17,23.0
R468,25,32,32,2,4.0
R538,25,6,28,30,29.5
R470,25,7,32,15,12.0
R536,25,8,28,9,12.75
R475,25,28,8,4,5.5
R533,26,28,32,3,7.75
R492,26,28,28,4,5.25
R464,26,32,32,7,10.0
R469,26,28,32,4,5.5
R447,26,6,32,22,17.5
R513,26,76,76,15,18.0
R287,26,28,32,6,6.0
R276,26,56,8,62,54.9
R270,26,28,32,4,6.0
R375,26,28,32,7,6.75
R373,26,8,8,16,11.0
R310,26,28,32,4,5.25
R402,26,32,32,8,9.25
R369,26,8,32,7,8.75
R366,26,76,68,65,66.0
R407,26,32,32,7,6.75
R409,26,1,3,14,10.75
R316,26,28,32,18,15.97
R365,26,76,33,15,15.6
R426,26,35,8,29,19.5
R229,26,6,8,9,14.25
R431,26,8,32,8,10.0
R357,26,32,22,16,21.0
R437,26,28,32,3,5.0
R239,26,8,32,9,10.75
R320,26,8,33,13,16.5
R413,26,32,32,5,5.75
R307,26,32,28,14,10.0
R309,27,8,8,4,8.5
R359,27,8,76,36,54.5
R489,27,8,8,5,9.25
R319,27,76,8,74,50.25
R499,27,8,8,6,7.5
R376,27,32,8,5,6.5
R380,27,32,32,7,10.5
R527,27,73,32,60,45.75
R383,27,32,56,42,46.5
R510,27,8,32,17,11.0
R444,27,28,8,12,8.5
R333,27,76,32,57,61.3
R267,27,8,28,11,9.0
R261,27,28,32,3,4.75
R465,27,28,32,5,9.0
R237,27,14,14,10,8.75
R440,27,28,8,8,9.0
R404,27,1,1,4,6.0
R411,27,1,8,57,32.75
R243,27,32,32,7,10.75
R241,27,28,32,6,6.0
R438,27,5,76,45,45.75
R439,27,8,32,4,6.75
R500,28,7,59,20,22.5
R250,28,32,8,5,5.75
R314,28,8,33,13,13.0
R254,28,32,32,12,9.25
R302,28,2,10,29,25.5
R326,28,33,56,21,35.0
R351,28,3,24,54,46.5
R540,28,32,8,5,8.25
R389,28,76,28,67,60.0
R396,28,49,28,52,3.25
R474,28,28,28,5,7.0
R410,28,34,60,7,10.0
R428,28,8,32,4,8.75
R393,28,32,32,4,4.75
R355,28,8,76,49,43.0
R235,28,8,32,7,8.25
R446,28,8,8,8,8.0
R454,29,8,28,6,7.0
R432,29,8,56,30,42.0
R332,29,8,8,3,6.5
R256,29,8,32,11,11.5
R448,29,8,28,8,8.75
R398,29,32,8,5,6.5
R394,29,8,32,5,7.75
R279,29,32,8,6,9.3
R535,29,32,32,11,13.75
R249,29,77,22,22,21.0
R321,29,28,32,2,4.25
R518,29,7,32,22,14.5
R367,29,32,32,11,9.25
R301,29,26,32,48,28.5
R388,29,8,32,6,9.25
R372,29,76,76,163,3.25
R291,29,28,8,9,10.75
R476,29,28,8,9,11.25
R867,30,76,8,74,64.25
R626,30,28,32,5,8.0
R620,30,76,32,65,58.6
R573,30,32,33,20,17.5
R698,30,32,32,6,9.5
R788,30,32,32,2,4.25
R761,30,8,32,2,9.0
R773,30,76,32,56,51.25
R604,30,8,32,9,7.75
R605,30,8,32,5,8.5
R565,30,8,33,11,13.5
R811,30,28,32,7,7.25
R550,30,28,32,4,5.0
R802,30,28,36,25,24.5
R919,30,28,8,8,6.5
R547,30,6,32,20,20.75
R441,30,28,32,6,10.25
